title,author,released_date
Red Cell,"By: Andrew Bustamante, Jihi Bustamante",Release date: 05-06-25
Wind and Truth,By: Brandon Sanderson,Release date: 12-06-24
Wind and Truth,By: Brandon Sanderson,Release date: 12-06-24
The City and Its Uncertain Walls,"By: Haruki Murakami, Philip Gabriel - translator",Release date: 11-26-24
The Songbird and the Heart of Stone,By: Carissa Broadbent,Release date: 11-19-24
The Mirror,By: Nora Roberts,Release date: 11-19-24
We Who Wrestle with God,By: Jordan B. Peterson,Release date: 11-19-24
We Who Wrestle With God,By: Jordan B. Peterson,Release date: 11-19-24
David Baldacci November 2024,By: David Baldacci,Release date: 11-12-24
Now or Never,By: Janet Evanovich,Release date: 11-05-24
The Waiting,By: Michael Connelly,Release date: 11-05-24
Solo Command: Star Wars Legends (X-Wing),By: Aaron Allston,Release date: 11-05-24
The Waiting,By: Michael Connelly,Release date: 11-05-24
The Grey Wolf,By: Louise Penny,Release date: 10-29-24
In Too Deep,"By: Lee Child, Andrew Child",Release date: 10-22-24
Polostan,By: Neal Stephenson,Release date: 10-15-24
Leo,"By: Deon Meyer, KL Seegers",Release date: 10-10-24
Bells Hells—What Doesn't Break,"By: Cassandra Khaw, Critical Role",Release date: 10-08-24
Spy School Goes Wild,By: Stuart Gibbs,Release date: 09-24-24
Targeted: Beirut,"By: Jack Carr, James M. Scott",Release date: 09-24-24
Percy Jackson and the Olympians: Wrath of the Triple Goddess,By: Rick Riordan,Release date: 09-24-24
We Solve Murders,By: Richard Osman,Release date: 09-17-24
A World Made New: A Channeled Text,By: Paul Selig,Release date: 09-17-24
Exodus: The Archimedes Engine,By: Peter F. Hamilton,Release date: 09-17-24
The Society of Starry Eyes: An Isekai LitRPG,By: Acaswell,Release date: 09-17-24
Somewhere Beyond the Sea,By: TJ Klune,Release date: 09-10-24
Nexus,By: Yuval Noah Harari,Release date: 09-10-24
Nexus,By: Yuval Noah Harari,Release date: 09-10-24
Passions in Death,By: J. D. Robb,Release date: 09-03-24
Capture or Kill,"By: Vince Flynn, Don Bentley",Release date: 09-03-24
How the World Made the West,By: Josephine Quinn,Release date: 09-03-24
All the Skills 4: A Deck-Building LitRPG,By: Honour Rae,Release date: 08-20-24
This Is Why We Lied,By: Karin Slaughter,Release date: 08-20-24
Born of Blood and Ash,By: Jennifer L. Armentrout,Release date: 08-13-24
Angel of Vengeance,"By: Douglas Preston, Lincoln Child",Release date: 08-13-24
Secrets and Strife: An Isekai LitRPG,By: SourpatchHero,Release date: 08-13-24
Red Dead's History,By: Tore C. Olsson,Release date: 08-06-24
The Mercy of Gods,By: James S.A. Corey,Release date: 08-06-24
Star Wars: Mace Windu: The Glass Abyss,By: Steven Barnes,Release date: 08-06-24
Avatar,By: Seth Ring,Release date: 07-30-24
Alien: Uncivil War,By: Brendan Deneen,Release date: 07-30-24
Shut Up and Run,By: Robin Arzon,Release date: 07-30-24
Shadow of Doubt,By: Brad Thor,Release date: 07-23-24
Hell Divers XII: Heroes,By: Nicholas Sansbury Smith,Release date: 07-16-24
The Black Bird Oracle,By: Deborah Harkness,Release date: 07-16-24
Descent,By: Marko Kloos,Release date: 07-16-24
"Overlord, Vol. 13","By: Kugane Maruyama, so-bin - illustrator, Emily Balistrieri - translator",Release date: 07-16-24
The Au Pair Affair,By: Tessa Bailey,Release date: 07-16-24
Diary of a Wimpy Kid: Rodrick Rules (Enhanced Edition),By: Jeff Kinney,Release date: 07-16-24
A Death in Cornwall,By: Daniel Silva,Release date: 07-09-24
Ember,"By: Jeffrey Wilson, Brian Andrews",Release date: 07-02-24
Reckless,By: Lauren Roberts,Release date: 07-02-24
Legend of the Arch Magus: Publisher's Pack 6,By: Michael Sisa,Release date: 06-25-24
Children of Anguish and Anarchy,By: Tomi Adeyemi,Release date: 06-25-24
Path of the Berserker 2: A Daopocalypse Progression Fantasy,By: Rick Scott,Release date: 06-25-24
How to Stop Breaking Your Own Heart,By: Meggan Roxanne,Release date: 06-25-24
Sentinel,By: Mark Greaney,Release date: 06-25-24
The Singularity Is Nearer,By: Ray Kurzweil,Release date: 06-25-24
Jake's Magical Market 3,By: J.R. Mathews,Release date: 06-18-24
Winter Lost,By: Patricia Briggs,Release date: 06-18-24
The Next Mrs. Parrish,By: Liv Constantine,Release date: 06-18-24
Winter Lost,By: Patricia Briggs,Release date: 06-18-24
J.L. Carr: A Month in the Country and The Harpole Report,By: J.L. Carr,Release date: 06-13-24
Le Fay,By: Sophie Keetch,Release date: 06-13-24
The Witch of Webs,By: pirateaba,Release date: 06-11-24
Star Wars: Temptation of the Force (The High Republic),By: Tessa Gratton,Release date: 06-11-24
The Housemaid Is Watching,By: Freida McFadden,Release date: 06-11-24
Not in Love,By: Ali Hazelwood,Release date: 06-11-24
"Right Thing, Right Now",By: Ryan Holiday,Release date: 06-11-24
The Mark Twain Complete Collection,By: Mark Twain,Release date: 06-06-24
Scavengers,By: Brian J. Nordon,Release date: 06-04-24
Leather & Lark,By: Brynne Weaver,Release date: 06-04-24
Camino Ghosts,By: John Grisham,Release date: 05-28-24
Countdown,By: Sean Oswald,Release date: 05-28-24
The Burning Witch 3: A Humorous Romantic Fantasy,By: Delemhach,Release date: 05-28-24
Southern Man,By: Greg Iles,Release date: 05-28-24
You Like It Darker,By: Stephen King,Release date: 05-21-24
Tom Clancy Act of Defiance,"By: Brian Andrews, Jeffrey Wilson",Release date: 05-21-24
Day Trading Attention,By: Gary Vaynerchuk,Release date: 05-21-24
The Fall of the Third Temple,By: Michael Stephen Fuchs,Release date: 05-21-24
Iron Flame (Part 1 of 2) (Dramatized Adaptation),By: Rebecca Yarros,Release date: 05-17-24
House of Lilies,By: Justine Firnhaber-Baker,Release date: 05-16-24
The Wanted,"By: Jason Anspach, Nick Cole",Release date: 05-14-24
Swamp Spies,By: Jana DeLeon,Release date: 05-14-24
The Shattered Path,By: Edward W. Robertson,Release date: 05-14-24
Red Sky Mourning,By: Jack Carr,Release date: 05-14-24
Good Energy,By: Casey Means MD,Release date: 05-14-24
Think Twice,By: Harlan Coben,Release date: 05-14-24
Hans,By: S.J. Tilly,Release date: 05-14-24
What Did You Do?,By: Jeneane O'Riley,Release date: 05-14-24
The Total Money Makeover Updated and Expanded,By: Dave Ramsey,Release date: 05-14-24
The Sheltering Sky,By: Paul Bowles,Release date: 05-14-24
Chasing Wild,By: Kristen Proby,Release date: 05-09-24
The Fyodor Dostoyevsky Complete Collection,By: Fyodor Dostoyevsky,Release date: 05-09-24
Recon,By: Craig Alanson,Release date: 05-07-24
Threads of Fate,By: Luke Chmilenko,Release date: 05-07-24
Get Better at Anything,By: Scott H. Young,Release date: 05-07-24
Fire and Fury,"By: Christopher Hopper, J.N. Chaney",Release date: 05-07-24
Discovering Daniel,"By: Amir Tsarfati, Rick Yohn - contributor",Release date: 05-07-24
Disquiet Gods,By: Christopher Ruocchio,Release date: 04-30-24
The New Menopause,By: Mary Claire Haver MD,Release date: 04-30-24
The Demon of Unrest,By: Erik Larson,Release date: 04-30-24
Power Moves,By: Sarah Jakes Roberts,Release date: 04-30-24
Gravesong,By: pirateaba,Release date: 04-30-24
Red Company: Invasion,By: B.V. Larson,Release date: 04-30-24
The Tiger's Rage,By: Marc Alan Edelheit,Release date: 04-30-24
The Unexpected,"By: Emily Oster, Nathan Fox",Release date: 04-30-24
Unstressable,"By: Mo Gawdat, Alice Law",Release date: 04-30-24
Constant Sorrow,"By: J.N. Chaney, Terry Maggert",Release date: 04-23-24
The Algebra of Wealth,By: Scott Galloway,Release date: 04-23-24
Amelia the Level Zero Hero 3: A LitRPG Adventure,By: V.A. Lewis,Release date: 04-23-24
Love Life,By: Matthew Hussey,Release date: 04-23-24
Funny Story,By: Emily Henry,Release date: 04-23-24
After 1177 B.C.,By: Eric H. Cline,Release date: 04-16-24
A Calamity of Souls,By: David Baldacci,Release date: 04-16-24
Close to Death,By: Anthony Horowitz,Release date: 04-16-24
Perfectly Charmed Pixie: Parsnip's Story,By: MJ May,Release date: 04-16-24
The Pucking Wrong Date,By: C.R. Jane,Release date: 04-16-24
Liberated Love,"By: Mark Groves, Kylie McBeath",Release date: 04-16-24
Knife,By: Salman Rushdie,Release date: 04-16-24
The Second Law of Cultivation,By: KrazeKode,Release date: 04-16-24
Realmbreaker,By: Actus,Release date: 04-15-24
My Favourite Mistake,By: Marian Keyes,Release date: 04-11-24
Close to Death,By: Anthony Horowitz,Release date: 04-11-24
Magdalene Nox,By: Milena McKay,Release date: 04-09-24
Valdemar,By: Mercedes Lackey,Release date: 04-09-24
The Wealth Money Can't Buy,By: Robin Sharma,Release date: 04-09-24
Sabotage,By: Sherrilyn Kenyon,Release date: 04-09-24
The Fetters of Fate,By: T.C. Edge,Release date: 04-09-24
BuyMort: Bull Market Mayhem: How I Cornered the Multiversal Monopoly,"By: Damien Hanson, Joseph Phelps",Release date: 04-09-24
The Boatmen,By: Jerry Boyd,Release date: 04-09-24
Toxic Prey,By: John Sandford,Release date: 04-09-24
Point Nemo,By: Jeremy Robinson,Release date: 04-09-24
Star Wars: The Living Force,By: John Jackson Miller,Release date: 04-09-24
Wake the Past,By: Sally Rigby,Release date: 04-09-24
The Wealth Money Can't Buy,By: Robin Sharma,Release date: 04-09-24
Fortune's Envoy: A Dystopian Sci-Fi Adventure,By: Plum Parrot,Release date: 04-09-24
George Orwell’s 1984,"By: George Orwell, Joe White - adaptation",Release date: 04-04-24
Date with Justice,By: Julia Chapman,Release date: 04-04-24
Dawnfall,By: Actus,Release date: 04-03-24
Law,By: Neven Iliev,Release date: 04-02-24
Just for the Summer,By: Abby Jimenez,Release date: 04-02-24
City in Ruins,By: Don Winslow,Release date: 04-02-24
Never Leave the Dogs Behind,By: Brianna Madia,Release date: 04-02-24
Avenging Angel,By: Kristen Ashley,Release date: 04-02-24
The Legend of Randidly Ghosthound 6: A LitRPG Adventure,"By: Noret Flood, puddles4263",Release date: 04-02-24
Sociopath,By: Patric Gagne Ph.D.,Release date: 04-02-24
Co-Intelligence,By: Ethan Mollick,Release date: 04-02-24
Rebel Rising,By: Rebel Wilson,Release date: 04-02-24
Four Minutes,"By: Jeffrey Wilson, Brian Andrews",Release date: 04-02-24
A Glitch in the Protocols: A Humorous Isekai LitRPG,By: Icalos,Release date: 04-02-24
Primal Conjurer,By: Danny Rogan,Release date: 04-02-24
First Principles and First Values,By: David J. Temple,Release date: 04-02-24
Wind,By: Erin Hunter,Release date: 04-02-24
The Temporal Tides,By: Draith,Release date: 04-02-24
Just for the Summer,By: Abby Jimenez,Release date: 04-02-24
Better than the Movies,By: Lynn Painter,Release date: 03-28-24
Mark of the Fool 5,By: J.M. Clarke,Release date: 03-27-24
Sylver Seeker 3,By: Kennit Kenway,Release date: 03-27-24
Mimic & Me 2,"By: Cassius Lange, Ryan Tang",Release date: 03-26-24
On the Same Page,By: Haley Cass,Release date: 03-26-24
Raising Mentally Strong Kids,"By: Daniel G. Amen M.D., Charles Fay Ph.D",Release date: 03-26-24
The Anxious Generation,By: Jonathan Haidt,Release date: 03-26-24
Nuclear War,By: Annie Jacobsen,Release date: 03-26-24
My Quiet Blacksmith Life in Another World: Volume 6,By: Tamamaru,Release date: 03-26-24
Shadowblade,"By: Terry Mancour, Emily Burch Harris",Release date: 03-26-24
The Power Foods Diet,"By: Neal Barnard, Dustin Harder, Lindsay S Nixon",Release date: 03-26-24
Age of Revolutions,By: Fareed Zakaria,Release date: 03-26-24
Shattered Will,"By: J.N. Chaney, Terry Maggert",Release date: 03-26-24
The Mage from Nowhere,By: B.T. Narro,Release date: 03-26-24
Vigor Mortis: Volume 4,"By: Natalie Maher, Thundamoo",Release date: 03-26-24
The Angel of Indian Lake,By: Stephen Graham Jones,Release date: 03-26-24
Becky Lynch: The Man,By: Rebecca Quin,Release date: 03-26-24
Beast: A LitRPG Adventure,By: V.A. Lewis,Release date: 03-26-24
Reborn as a Demonic Tree 2,By: XKarnation,Release date: 03-26-24
Some People Need Killing,By: Patricia Evangelista,Release date: 03-26-24
His Fierce Mate,By: Julie Trettel,Release date: 03-26-24
Return of the Runebound Professor,By: Actus,Release date: 03-26-24
Preservation,By: Seth Ring,Release date: 03-26-24
Starship Troopers,By: Robert A. Heinlein,Release date: 03-26-24
First Line of Defense 2,By: Benjamin Kerei,Release date: 03-26-24
The Anxious Generation,By: Jonathan Haidt,Release date: 03-26-24
Casino Royale,By: Ian Fleming,Release date: 03-26-24
The Breakthrough Years,By: Ellen Galinsky,Release date: 03-26-24
Illicit Desires,By: Ashley James,Release date: 03-22-24
My Pet Werewolf,By: James Kaine,Release date: 03-22-24
Heath,"By: Nikki Ash, K Webster",Release date: 03-22-24
Bloodlust Blues,By: Luanne Bennett,Release date: 03-22-24
This Hope,By: Asha Junot,Release date: 03-22-24
Fighting for Your Love,By: Nikki Ash,Release date: 03-22-24
Fiendish Delights,By: Helen Harper,Release date: 03-22-24
Apocalypse Knights 4,By: D.B. King,Release date: 03-22-24
ばにらさま,By: 山本 文緒,Release date: 03-22-24
Legacy of Empire,"By: J.N. Chaney, Rick Partlow",Release date: 03-21-24
Kissing a Killer,By: Jack Gatland,Release date: 03-21-24
The Brazen One,By: Daisy Jane,Release date: 03-21-24
Verraten,By: Jussi Adler-Olsen,Release date: 03-21-24
Casteless,By: Peppersquash,Release date: 03-21-24
Neverwhere (Spanish Edition),"By: Neil Gaiman, Mónica Faerna García-Bermejo - translator",Release date: 03-21-24
La luz del norte [The North Light],"By: Hideo Yokoyama, Marina Bornas Montaña - translator",Release date: 03-21-24
El círculo de mujeres de la doctora Tan [Lady Tan’s Circle of Women],"By: Lisa See, Patricia Antón de Vez - translator",Release date: 03-21-24
The Bunker at Broken Ridge,By: Colton Lively,Release date: 03-21-24
Smart Money,By: Alex Duff,Release date: 03-21-24
Tiempos de swing [Swing Time],"By: Zadie Smith, Eugenia Vázquez Nacarino - translator",Release date: 03-21-24
"Adiós, muñeca [Farewell, My Lovely]","By: Raymond Chandler, César Aira - translator, Juan Manuel Ibeas Delgado - translator",Release date: 03-21-24
Los años [The Years],By: Annie Ernaux,Release date: 03-21-24
In Her Place,By: Edel Coffey,Release date: 03-21-24
I Am Not Sidney Poitier,By: Percival Everett,Release date: 03-21-24
The Translator,By: Harriet Crawley,Release date: 03-21-24
Hurlements,By: Alexis Laipsker,Release date: 03-21-24
Battle for the Bird,By: Kurt Wagner,Release date: 03-21-24
Forcez votre destin,By: Anthony Bourbon,Release date: 03-21-24
1722,By: Amy Cross,Release date: 03-21-24
Wandering Stars,By: Tommy Orange,Release date: 03-21-24
Floating Hotel,By: Grace Curtis,Release date: 03-21-24
The Half Bird,By: Susan Smillie,Release date: 03-21-24
The Guessing Game: The Complete Series 1 and 2,By: Clive Anderson,Release date: 03-21-24
Memory Piece,By: Lisa Ko,Release date: 03-21-24
El arte de la guerra [The Art of War],"By: Sun Tzu, David Sevillano López - translator",Release date: 03-21-24
Our Accidental Universe,By: Chris Lintott,Release date: 03-21-24
I Heard Her Call My Name,By: Lucy Sante,Release date: 03-21-24
